LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";-;-;-;-;-;-;1;-;-;-;-;-;1
"130014 APUI";4;1;1;3;5;5;1;2;2;1;2;-;27
"130020 ATALAIA DO NORTE";-;-;1;2;2;-;1;1;-;-;-;1;8
"130030 AUTAZES";3;-;-;1;1;-;-;-;1;1;2;-;9
"130040 BARCELOS";-;2;1;2;1;4;1;-;-;1;1;-;13
"130050 BARREIRINHA";2;-;1;-;3;6;7;4;1;2;4;3;33
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;1;-;1;-;-;-;2
"130068 BOA VISTA DO RAMOS";-;1;-;1;-;2;1;-;-;-;-;-;5
"130070 BOCA DO ACRE";1;2;2;4;6;4;5;7;-;-;-;5;36
"130080 BORBA";-;-;-;-;1;6;2;4;1;-;-;-;14
"130090 CANUTAMA";-;-;1;1;-;2;2;-;-;2;-;-;8
"130100 CARAUARI";2;2;-;1;1;-;-;-;-;-;-;-;6
"130110 CAREIRO";-;1;-;-;-;1;1;-;-;-;-;-;3
"130120 COARI";-;-;-;-;1;2;1;-;-;-;-;-;4
"130130 CODAJAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"130140 EIRUNEPE";1;5;3;-;5;6;3;2;2;4;1;-;32
"130150 ENVIRA";8;6;-;2;2;3;5;4;3;3;3;2;41
"130165 GUAJARA";-;1;-;-;1;1;-;1;-;1;-;-;5
"130170 HUMAITA";3;5;4;7;6;6;5;6;4;6;1;2;55
"130180 IPIXUNA";-;2;1;2;-;-;-;-;2;1;-;-;8
"130190 ITACOATIARA";8;5;3;1;1;-;2;1;1;8;8;2;40
"130195 ITAMARATI";-;-;-;-;-;2;1;1;-;-;-;-;4
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130210 JAPURA";-;1;-;-;-;-;1;-;-;1;-;1;4
"130240 LABREA";1;-;1;1;3;3;3;2;1;-;-;-;15
"130250 MANACAPURU";4;-;1;-;3;-;-;-;-;2;1;1;12
"130255 MANAQUIRI";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 MANAUS";91;70;52;26;27;30;26;13;13;29;73;56;506
"130270 MANICORE";1;1;-;2;4;4;2;-;-;-;-;-;14
"130280 MARAA";1;-;-;-;-;-;-;-;1;-;-;-;2
"130290 MAUES";-;-;1;2;1;5;5;3;6;1;1;3;28
"130300 NHAMUNDA";-;1;1;3;1;2;-;2;1;3;1;-;15
"130310 NOVA OLINDA DO NORTE";2;-;-;-;2;2;-;1;-;2;-;-;9
"130320 NOVO AIRAO";-;1;1;-;1;-;2;-;-;3;-;-;8
"130330 NOVO ARIPUANA";-;-;2;1;2;3;2;1;-;-;-;-;11
"130340 PARINTINS";5;1;-;1;-;3;1;1;2;-;-;1;15
"130350 PAUINI";-;3;-;3;1;1;4;4;3;-;1;2;22
"130353 PRESIDENTE FIGUEIREDO";15;21;15;17;6;5;6;2;6;12;18;22;145
"130356 RIO PRETO DA EVA";7;12;4;3;4;9;3;2;2;1;6;15;68
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;2;1;1;1;-;2;-;-;7
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";6;3;3;2;4;2;1;1;3;3;3;1;32
"130395 SAO SEBASTIAO DO UATUMA";1;-;-;1;-;-;-;-;-;-;-;-;2
"130400 SILVES";-;-;-;1;-;-;2;-;1;-;2;1;7
"130406 TABATINGA";-;-;-;-;1;-;1;2;1;-;-;1;6
"130410 TAPAUA";-;1;-;-;-;2;-;2;-;1;1;-;7
"130420 TEFE";-;1;-;-;2;1;-;-;-;-;-;-;4
"130423 TONANTINS";-;-;-;2;-;-;-;-;-;-;1;-;3
"130426 UARINI";-;-;1;1;-;2;-;-;-;-;-;-;4
"Total";167;149;100;93;100;125;100;70;58;92;130;120;1304
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
