Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2007-01-31;124,4;414,4;30,7;26,434194;23,270968;90,258065;
2007-02-28;154,3;137,7;33,228571;27,725;24,228571;78,973214;
2007-03-31;116,4;336;31,254839;26,054839;23,067742;89,443548;
2007-04-30;128,1;343,1;31,3;26,518667;23,663333;88,466667;
2007-05-31;157,6;165,3;31,883871;26,834194;23,832258;86,830645;
2007-06-30;228,6;100,2;32,706667;26,93;23,286667;84,2;
2007-07-31;211,7;121,9;33,006452;27,220645;23,490323;82,548387;
2007-08-31;204,5;133,3;32,996774;27,109677;23,206452;82,354839;
2007-09-30;172,3;71,7;33,513333;27,552;23,746667;81,533333;
2007-10-31;169,8;28,5;34,435484;28,160645;24,36129;79,201613;
2007-11-30;179,6;226,2;33,91;28,264667;24,32;78,833333;
2007-12-31;145,8;327,9;31,596774;26,316129;23,193548;87,806452;
2008-01-31;112;397,4;30,629032;25,90129;23,293548;89,120968;
2008-02-29;108,6;298,8;31,031034;25,922759;23,141379;89,603448;
2008-03-31;83,4;553;30,435484;25,394194;22,777419;90,637097;
2008-04-30;124,5;345,4;31,756667;26,380667;23,353333;87,658333;
2008-05-31;103,1;264,1;30,651613;26,052258;23,412903;88,717742;
2008-06-30;168,3;202,7;31,706667;26,356;23,076667;85,95;
2008-07-31;238,8;80,2;33,558065;27,276129;23,467742;81,58871;
2008-08-31;226,5;58,4;34,351613;27,910968;23,912903;81,354839;
2008-09-30;171,1;56;33,29;27,668667;23,88;82,316667;
2008-10-31;147,9;162,2;32,746667;27,493548;23,776667;88,637097;
2008-11-30;128,4;280,8;32,413333;27,134;23,693333;89,5;
2008-12-31;137,2;458,1;31,948387;26,610323;23,470968;86,830645;
2009-01-31;95,4;310,8;30,625806;25,836129;23,132258;90,733871;
2009-02-28;101,8;457,9;30,407143;25,926429;23,275;88,330357;
2009-03-31;85,7;232,5;31,077419;26,292903;23,503226;87,201613;
2009-04-30;113,2;222,1;31,773333;26,708;23,896667;86,775;
2009-05-31;140,6;114;30,983871;26,509677;23,922581;87,185484;
2009-06-30;163,2;165,8;31,176667;26,622;23,96;86,508333;
2009-07-31;247,8;25,1;33,064516;27,753548;24,229032;79,862903;
2009-08-31;277,1;5,4;34,741935;29,272258;25,351613;72,830645;
2009-09-30;265,4;4,2;35,613333;29,910667;25,47;69,325;
