Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2007-01-31;112,6;348,2;31,209677;26,368387;23,448387;86,846774;
2007-02-28;111,5;267,9;31,103571;26,026429;22,75;87,25;
2007-03-31;137;246,3;31,36129;26,014839;22,96129;86,741935;
2007-04-30;155,5;122,8;31,476667;25,648;22,24;87,158333;
2007-05-31;173,7;106;29,767742;23,636774;19,583871;85,540323;
2007-06-30;247,2;51,3;31,836667;24,08;18,99;83,283333;
2007-07-31;244,2;20,3;31,551613;23,724516;18,245161;79,185484;
2007-08-31;234;38,3;33,370968;24,414194;17,683871;70,854839;
2007-09-30;146,5;150,6;34,013333;26,176667;21,023333;76,966667;
2007-10-31;165;122,6;33,129032;26,508387;22,706452;81,370968;
2007-11-30;151,2;153,1;31,873333;26,072;22,386667;84,633333;
2007-12-31;138,4;221,8;30,780645;25,774839;22,854839;85,830645;
2008-01-31;114,6;349,8;30,077419;25,436774;22,5;88,080645;
2008-02-29;108,6;284,8;30,125;25,284828;22,35;87,706897;
2008-03-31;113,2;179;29,841935;25,247097;22,332258;88,556452;
2008-04-30;162,9;139,5;30,126667;25,157333;21,863333;86,316667;
2008-05-31;174,5;54,7;28,945161;23,583226;19,593548;84,233871;
2008-06-30;165,7;11,4;27,763333;22,084;17,44;83,808333;
2008-07-31;256,5;72,6;32,651613;24,532903;18,922581;76,798387;
2008-08-31;251,1;32,2;33,451613;25,683226;20,545161;75,153226;
