LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2008
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;3;1;3;1;1;-;-;-;-;-;4;13
"210015 AGUA DOCE DO MARANHAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"210030 ALDEIAS ALTAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210060 AMARANTE DO MARANHAO";1;-;-;-;1;-;1;-;-;1;1;-;5
"210120 BACABAL";-;-;-;-;-;1;-;-;-;-;-;-;1
"210140 BALSAS";-;-;-;-;-;2;1;-;-;-;-;-;3
"210160 BARRA DO CORDA";-;-;-;-;-;1;-;3;2;-;3;-;9
"210207 BOM LUGAR";-;-;-;-;1;-;-;-;-;-;-;-;1
"210220 BURITI";-;-;-;-;-;-;-;-;-;-;1;-;1
"210255 CAMPESTRE DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210270 CANTANHEDE";-;-;-;-;-;-;1;1;-;-;-;-;2
"210280 CAROLINA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210300 CAXIAS";-;1;-;2;2;2;6;12;7;-;6;-;38
"210320 CHAPADINHA";1;-;-;-;-;-;-;-;-;-;-;-;1
"210330 CODO";1;3;1;1;1;-;1;-;-;-;-;-;8
"210340 COELHO NETO";-;-;-;2;-;-;1;1;4;1;-;-;9
"210350 COLINAS";1;-;-;1;1;2;2;4;1;1;1;3;17
"210360 COROATA";-;1;2;2;1;1;-;3;-;-;-;3;13
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210420 FORTUNA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;-;1;-;-;-;1;2
"210455 GOVERNADOR EDISON LOBAO";-;-;1;2;-;2;1;1;-;2;-;-;9
"210480 GRAJAU";-;-;-;-;-;-;-;-;1;-;-;1;2
"210530 IMPERATRIZ";4;3;3;4;5;4;6;2;5;6;-;-;42
"210540 ITAPECURU MIRIM";-;-;-;-;-;-;3;-;-;-;2;1;6
"210550 JOAO LISBOA";1;-;1;-;-;-;-;1;-;1;-;-;4
"210570 LAGO DA PEDRA";-;-;-;-;-;1;-;1;-;-;-;-;2
"210650 MATINHA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210750 PACO DO LUMIAR";-;-;-;2;4;1;-;1;-;-;-;-;8
"210780 PARNARAMA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;1;-;-;-;3;2;1;-;-;-;7
"210900 PORTO FRANCO";-;-;1;2;1;2;-;1;-;-;-;-;7
"210910 PRESIDENTE DUTRA";-;-;-;1;-;1;-;1;-;-;-;-;3
"210950 RIACHAO";-;-;-;-;-;-;2;-;-;-;-;-;2
"210990 SANTA INES";-;-;-;-;-;-;-;-;-;1;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;4;-;1;-;-;-;5
"211120 SAO JOSE DE RIBAMAR";-;2;-;-;-;-;3;-;1;1;2;-;9
"211130 SAO LUIS";6;3;8;4;16;13;20;25;24;6;10;7;142
"211210 TIMBIRAS";-;1;-;-;-;-;-;1;-;1;-;-;3
"211220 TIMON";2;1;1;2;1;1;-;2;-;-;1;3;14
"211230 TUNTUM";-;-;-;-;-;1;-;-;-;-;-;1;2
"211250 TUTOIA";1;1;-;-;-;-;-;-;-;1;1;-;4
"Total";19;20;20;29;36;37;55;63;47;22;31;24;403
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
